site ,condition,GRAMS
SP.H.1.ZJ,mixture,15.2
SP.H.1.ZM,mixture,10.55
SP.H.10.ZJ,zj,36.62
SP.H.11.ZM,zm,8.16
SP.H.12.ZM,zm,8.88
SP.H.13.ZJ,mixture,2.35
SP.H.13.ZM,mixture,8.98
SP.H.14.ZM,zm,10.88
SP.H.15.ZJ,zj,21.96
SP.H.16.ZJ,mixture,7.61
SP.H.16.ZM,mixture,2.55
SP.H.17.ZM,zm,8.53
SP.H.18.ZJ,zj,45.29
SP.H.2.ZJ,zj,30.96
SP.H.3.ZJ,zj,27.52
SP.H.4.ZJ,mixture,2.95
SP.H.4.ZM,mixture,10.17
SP.H.5.ZM,zm,7.6
SP.H.6.ZM,zm,10.38
SP.H.7.ZJ,zj,21.19
SP.H.8.ZJ,mixture,4.36
SP.H.8.ZM,mixture,5.39
SP.H.9.ZJ,mixture,11.11
SP.H.9.ZM,mixture,9
SP.L.1.ZJ,mixture,0.32
SP.L.1.ZM,mixture,4.59
SP.L.10.ZJ,zj,1.21
SP.L.11.ZM,zm,12.37
SP.L.12.ZM,zm,18.55
SP.L.13.ZJ,mixture,0.41
SP.L.13.ZM,mixture,19.61
SP.L.14.ZM,zm,17.71
SP.L.15.ZJ,zj,0.84
SP.L.16.ZJ,mixture,0.94
SP.L.16.ZM,mixture,8.39
SP.L.17.ZM,zm,28.05
SP.L.18.ZJ,zj,6.56
SP.L.2.ZJ,zj,2.32
SP.L.3.ZJ,zj,4.65
SP.L.4.ZJ,mixture,0.07
SP.L.4.ZM,mixture,20.67
SP.L.5.ZM,zm,0.25
SP.L.6.ZM,zm,17.52
SP.L.7.ZJ,zj,0.73
SP.L.8.ZJ,mixture,0.01
SP.L.8.ZM,mixture,16.45
SP.L.9.ZJ,mixture,0.02
SP.L.9.ZM,mixture,10.97
SP.M.1.ZJ,mixture,5.59
SP.M.1.ZM,mixture,2.89
SP.M.10.ZJ,zj,30.2
SP.M.11.ZM,zm,11.21
SP.M.12.ZM,zm,17
SP.M.13.ZJ,mixture,1.72
SP.M.13.ZM,mixture,9.96
SP.M.14.ZM,zm,15.73
SP.M.15.ZJ,zj,7.89
SP.M.16.ZJ,mixture,4.17
SP.M.16.ZM,mixture,11.1
SP.M.17.ZM,zm,15.15
SP.M.18.ZJ,zj,20
SP.M.2.ZJ,zj,6.26
SP.M.3.ZJ,zj,11.08
SP.M.4.ZJ,mixture,5.79
SP.M.4.ZM,mixture,16.22
SP.M.5.ZM,zm,11.25
SP.M.6.ZM,zm,19.39
SP.M.7.ZJ,zj,27.75
SP.M.8.ZJ,mixture,3.45
SP.M.8.ZM,mixture,14.92
SP.M.9.ZJ,mixture,12.81
SP.M.9.ZM,mixture,3.74
SV.H.1.ZJ,mixture,6.12
SV.H.1.ZM,mixture,3.99
SV.H.10.ZJ,zj,41.53
SV.H.11.ZM,zm,5.49
SV.H.12.ZM,zm,2.3
SV.H.13.ZJ,mixture,10.32
SV.H.13.ZM,mixture,1.97
SV.H.14.ZM,zm,2.17
SV.H.15.ZJ,zj,28.33
SV.H.16.ZJ,mixture,12.34
SV.H.16.ZM,mixture,1.83
SV.H.17.ZM,zm,1.56
SV.H.18.ZJ,zj,34.56
SV.H.2.ZJ,zj,6.44
SV.H.3.ZJ,zj,14.7
SV.H.4.ZJ,mixture,1
SV.H.4.ZM,mixture,0.83
SV.H.5.ZM,zm,0.68
SV.H.6.ZM,zm,0.67
SV.H.7.ZJ,zj,16.78
SV.H.8.ZJ,mixture,47.53
SV.H.8.ZM,mixture,0.14
SV.H.9.ZJ,mixture,40.66
SV.H.9.ZM,mixture,0.18
SV.L.1.ZJ,mixture,3.58
SV.L.1.ZM,mixture,20.59
SV.L.10.ZJ,zj,12.65
SV.L.11.ZM,zm,27.98
SV.L.12.ZM,zm,24.42
SV.L.13.ZJ,mixture,0
SV.L.13.ZM,mixture,40.03
SV.L.14.ZM,zm,42.06
SV.L.15.ZJ,zj,17.15
SV.L.16.ZJ,mixture,0
SV.L.16.ZM,mixture,20.94
SV.L.17.ZM,zm,25.51
SV.L.18.ZJ,zj,12.65
SV.L.2.ZJ,zj,13.33
SV.L.3.ZJ,zj,16.34
SV.L.4.ZJ,mixture,1.23
SV.L.4.ZM,mixture,16.71
SV.L.5.ZM,zm,32.71
SV.L.6.ZM,zm,34.36
SV.L.7.ZJ,zj,4.48
SV.L.8.ZJ,mixture,2.94
SV.L.8.ZM,mixture,21.2
SV.L.9.ZJ,mixture,0
SV.L.9.ZM,mixture,32.77
SV.M.1.ZJ,mixture,4.63
SV.M.1.ZM,mixture,20.86
SV.M.10.ZJ,zj,2.37
SV.M.11.ZM,zm,30.72
SV.M.12.ZM,zm,15.95
SV.M.13.ZJ,mixture,0.42
SV.M.13.ZM,mixture,22.04
SV.M.14.ZM,zm,28.87
SV.M.15.ZJ,zj,2.71
SV.M.16.ZJ,mixture,0.06
SV.M.16.ZM,mixture,19.83
SV.M.17.ZM,zm,22.29
SV.M.18.ZJ,zj,2.68
SV.M.2.ZJ,zj,15.75
SV.M.3.ZJ,zj,8.98
SV.M.4.ZJ,mixture,3.58
SV.M.4.ZM,mixture,18.31
SV.M.5.ZM,zm,10.59
SV.M.6.ZM,zm,16.73
SV.M.7.ZJ,zj,4.57
SV.M.8.ZJ,mixture,2.67
SV.M.8.ZM,mixture,16.6
SV.M.9.ZJ,mixture,2.11
SV.M.9.ZM,mixture,17.8
