site,Condition,Eel grass weight,epiphyte weight,Standardized
SV.H.1.ZJ,mixture,0.11,0.01,0.090909091
SV.H.1.ZM,mixture,0.42,0.15,0.357142857
SV.H.2.ZJ,monoculture,0.1,0.02,0.2
SV.H.3.ZJ,monoculture,0.07,0.02,0.285714286
SV.H.4.ZJ,mixture,0.04,0.03,0.75
SV.H.4.ZM,mixture,0.08,0.08,1
SV.H.5.ZM,monoculture,0.29,0.35,1.206896552
SV.H.6.ZM,monoculture,0.06,0.21,3.5
SV.H.7.ZJ,monoculture,0.13,0.06,0.461538462
SV.H.8.ZJ,mixture,0.14,0.01,0.071428571
SV.H.8.ZM,mixture,0.1,0.09,0.9
SV.H.9.ZJ,mixture,0.16,0.01,0.0625
SV.H.9.ZM,mixture,0.06,0.01,0.166666667
SV.H.10.ZJ,monoculture,0.13,0.04,0.307692308
SV.H.11.ZM,monoculture,0.06,0.04,0.666666667
SV.H.12.ZM,monoculture,0.11,0.03,0.272727273
SV.H.13.ZJ,mixture,0.08,0.03,0.375
SV.H.13.ZM,mixture,0.11,0.11,1
SV.H.14.ZM,monoculture,0.6,0.31,0.516666667
SV.H.15.ZJ,monoculture,0.07,0.22,3.142857143
SV.H.16.ZJ,mixture,0.06,0.01,0.166666667
SV.H.16.ZM,mixture,0.2,0.06,0.3
SV.H.17.ZM,monoculture,0.04,0.03,0.75
SV.H.18.ZJ,monoculture,0.1,0.04,0.4
SV.M.1.ZJ,mixture,0.12,0.05,0.416666667
SV.M.1.ZM,mixture,0.47,0.19,0.404255319
SV.M.2.ZJ,monoculture,0.07,0.09,1.285714286
SV.M.3.ZJ,monoculture,0.11,0.13,1.181818182
SV.M.4.ZJ,mixture,0.07,0.05,0.714285714
SV.M.4.ZM,mixture,0.6,0.25,0.416666667
SV.M.5.ZM,monoculture,0.37,0.16,0.432432432
SV.M.6.ZM,monoculture,0.79,0.32,0.405063291
SV.M.7.ZJ,monoculture,0.09,0.11,1.222222222
SV.M.8.ZJ,mixture,0.1,0,0
SV.M.8.ZM,mixture,0.52,0.15,0.288461538
SV.M.9.ZJ,mixture,0.09,0.02,0.222222222
SV.M.9.ZM,mixture,0.72,0.28,0.388888889
SV.M.10.ZJ,monoculture,0.08,0.08,1
SV.M.11.ZM,monoculture,1.23,0.42,0.341463415
SV.M.12.ZM,monoculture,0.82,0.3,0.365853659
SV.M.13.ZJ,mixture,0.13,0.07,0.538461538
SV.M.13.ZM,mixture,0.68,0.08,0.117647059
SV.M.14.ZM,monoculture,1.28,0.26,0.203125
SV.M.15.ZJ,monoculture,0.06,0.06,1
SV.M.16.ZJ,mixture,0.12,0.11,0.916666667
SV.M.16.ZM,mixture,0.66,0.15,0.227272727
SV.M.17.ZM,monoculture,1.26,0.28,0.222222222
SV.M.18.ZJ,monoculture,0.08,0.09,1.125
SV.L.1.ZJ,mixture,0.13,0.06,0.461538462
SV.L.1.ZM,mixture,1.63,0.31,0.190184049
SV.L.2.ZJ,monoculture,0.08,0.11,1.375
