Site,Length
SP. L.10.ZJ,24.3
SP. L.10.ZJ,33.4
SP. L.10.ZJ,37.7
SP. L.10.ZJ,32.5
SP. L.10.ZJ,30.1
SP.L.13.ZJ,37.8
SP.L.13.ZJ,13.7
SP.L.13.ZJ,16.3
SP.L.13.ZJ,37.1
SP.L.13.ZJ,10.2
SP.L.15.ZJ,23.5
SP.L.15.ZJ,34.6
SP.L.15.ZJ,22.8
SP.L.15.ZJ,27.6
SP.L.15.ZJ,13.4
SP.L.16.ZJ,30.1
SP.L.16.ZJ,34
SP.L.16.ZJ,30.6
SP.L.16.ZJ,33.9
SP.L.16.ZJ,29.5
SP.L.18.ZJ,36.5
SP.L.18.ZJ,29.3
SP.L.18.ZJ,36.8
SP.L.18.ZJ,40.1
SP.L.18.ZJ,34.3
SP.M.9.ZJ,43.3
SP.M.9.ZJ,40.5
SP.M.9.ZJ,50.3
SP.M.9.ZJ,34.6
SP.M.9.ZJ,25.1
SP.M.10.ZJ,26.7
SP.M.10.ZJ,29.3
SP.M.10.ZJ,19.2
SP.M.10.ZJ,28.5
SP.M.10.ZJ,25
SP.M.13.ZJ,26.1
SP.M.13.ZJ,11.6
SP.M.13.ZJ,23
SP.M.13.ZJ,21.7
SP.M.13.ZJ,29.5
SP.M.15.ZJ,19.1
SP.M.15.ZJ,15.4
SP.M.15.ZJ,25.5
SP.M.15.ZJ,21.8
SP.M.15.ZJ,35.6
SP.M.16.ZJ,58.2
SP.M.16.ZJ,23.5
SP.M.16.ZJ,33.9
SP.M.16.ZJ,26.8
SP.M.16.ZJ,19.4
SP.M.18.ZJ,17.4
SP.M.18.ZJ,22.7
SP.M.18.ZJ,19.1
SP.M.18.ZJ,31.5
SP.M.18.ZJ,32.1
SP.H.9.ZJ,28
SP.H.9.ZJ,36.3
SP.H.9.ZJ,39.2
SP.H.9.ZJ,35.1
SP.H.9.ZJ,14.6
SP.H.10.ZJ,19.4
SP.H.10.ZJ,14.3
SP.H.10.ZJ,20.6
SP.H.10.ZJ,16.1
SP.H.10.ZJ,27
SP.H.13.ZJ,20.5
SP.H.13.ZJ,17.9
SP.H.13.ZJ,26.8
SP.H.13.ZJ,27.9
SP.H.13.ZJ,16.6
SP.H.15.ZJ,29.3
SP.H.15.ZJ,30.7
SP.H.15.ZJ,16.5
SP.H.15.ZJ,34.3
SP.H.15.ZJ,24.1
SP.H.16.ZJ,16.4
SP.H.16.ZJ,21.2
SP.H.16.ZJ,30.9
SP.H.16.ZJ,25.6
SP.H.16.ZJ,15.8
SP.H.18.ZJ,6.2
SP.H.18.ZJ,42.7
SP.H.18.ZJ,28
SP.H.18.ZJ,31.3
SP.H.18.ZJ,27.9
SV.L.9.ZJ,28.3
SV.L.9.ZJ,19.7
SV.L.9.ZJ,59.8
SV.L.9.ZJ,26.7
SV.L.9.ZJ,18.2
SV.H.16.ZJ,33.3
SV.H.16.ZJ,9.7
SV.H.16.ZJ,14.7
SV.H.16.ZJ,13.6
SV.H.16.ZJ,17.9
SV.L.13.ZJ,13.3
SV.L.13.ZJ,14.2
SV.L.13.ZJ,20
SV.L.13.ZJ,26.6
SV.L.13.ZJ,13.4
SV.L.18.ZJ,33.9
SV.L.18.ZJ,39.7
SV.L.18.ZJ,29.8
SV.L.18.ZJ,25.6
SV.L.18.ZJ,25.1
SV.L.10.ZJ,32.7
SV.L.10.ZJ,27.5
SV.L.10.ZJ,23.5
SV.L.10.ZJ,31.4
SV.L.10.ZJ,45.1
SV.L.15.ZJ,32.5
SV.L.15.ZJ,28.2
SV.L.15.ZJ,22.9
SV.L.15.ZJ,13.2
