Site,Condition
SP.H.1.ZJ,mixture
SP.H.1.ZM,mixture
SP.H.10.ZJ,monoculture
SP.H.11.ZM,monoculture
SP.H.12.ZM,monoculture
SP.H.13.ZJ,mixture
SP.H.13.ZM,mixture
SP.H.14.ZM,monoculture
SP.H.15.ZJ,monoculture
SP.H.16.ZJ,mixture
SP.H.16.ZM,mixture
SP.H.17.ZM,monoculture
SP.H.18.ZJ,monoculture
SP.H.2.ZJ,monoculture
SP.H.3.ZJ,monoculture
SP.H.4.ZJ,mixture
SP.H.4.ZM,mixture
SP.H.5.ZM,monoculture
SP.H.6.ZM,monoculture
SP.H.7.ZJ,monoculture
SP.H.8.ZJ,mixture
SP.H.8.ZM,mixture
SP.H.9.ZJ,mixture
SP.H.9.ZM,mixture
SP.L.1.ZJ,mixture
SP.L.1.ZM,mixture
SP.L.10.ZJ,monoculture
SP.L.11.ZM,monoculture
SP.L.12.ZM,monoculture
SP.L.13.ZJ,mixture
SP.L.13.ZM,mixture
SP.L.14.ZM,monoculture
SP.L.15.ZJ,monoculture
SP.L.16.ZJ,mixture
SP.L.16.ZM,mixture
SP.L.17.ZM,monoculture
SP.L.18.ZJ,monoculture
SP.L.2.ZJ,monoculture
SP.L.3.ZJ,monoculture
SP.L.4.ZJ,mixture
SP.L.4.ZM,mixture
SP.L.5.ZM,monoculture
SP.L.6.ZM,monoculture
SP.L.7.ZJ,monoculture
SP.L.8.ZJ,mixture
SP.L.8.ZM,mixture
SP.L.9.ZJ,mixture
SP.L.9.ZM,mixture
SP.M.1.ZJ,mixture
SP.M.1.ZM,mixture
SP.M.10.ZJ,monoculture
SP.M.11.ZM,monoculture
SP.M.12.ZM,monoculture
SP.M.13.ZJ,mixture
SP.M.13.ZM,mixture
SP.M.14.ZM,monoculture
SP.M.15.ZJ,monoculture
SP.M.16.ZJ,mixture
SP.M.16.ZM,mixture
SP.M.17.ZM,monoculture
SP.M.18.ZJ,monoculture
SP.M.2.ZJ,monoculture
SP.M.3.ZJ,monoculture
SP.M.4.ZJ,mixture
SP.M.4.ZM,mixture
SP.M.5.ZM,monoculture
SP.M.6.ZM,monoculture
SP.M.7.ZJ,monoculture
SP.M.8.ZJ,mixture
SP.M.8.ZM,mixture
SP.M.9.ZJ,mixture
SP.M.9.ZM,mixture
SV.H.1.ZJ,mixture
SV.H.1.ZM,mixture
SV.H.10.ZJ,monoculture
SV.H.11.ZM,monoculture
SV.H.12.ZM,monoculture
SV.H.13.ZJ,mixture
SV.H.13.ZM,mixture
SV.H.14.ZM,monoculture
SV.H.15.ZJ,monoculture
SV.H.16.ZJ,mixture
SV.H.16.ZM,mixture
SV.H.17.ZM,monoculture
SV.H.18.ZJ,monoculture
SV.H.2.ZJ,monoculture
SV.H.3.ZJ,monoculture
SV.H.4.ZJ,mixture
SV.H.4.ZM,mixture
SV.H.5.ZM,monoculture
SV.H.6.ZM,monoculture
SV.H.7.ZJ,monoculture
SV.H.8.ZJ,mixture
SV.H.8.ZM,mixture
SV.H.9.ZJ,mixture
SV.H.9.ZM,mixture
SV.L.1.ZJ,mixture
SV.L.1.ZM,mixture
SV.L.10.ZJ,monoculture
SV.L.11.ZM,monoculture
SV.L.12.ZM,monoculture
SV.L.13.ZJ,mixture
SV.L.13.ZM,mixture
SV.L.14.ZM,monoculture
SV.L.15.ZJ,monoculture
SV.L.16.ZJ,mixture
SV.L.16.ZM,mixture
SV.L.17.ZM,monoculture
SV.L.18.ZJ,monoculture
SV.L.2.ZJ,monoculture
SV.L.3.ZJ,monoculture
SV.L.4.ZJ,mixture
SV.L.4.ZM,mixture
SV.L.5.ZM,monoculture
SV.L.6.ZM,monoculture
SV.L.7.ZJ,monoculture
SV.L.8.ZJ,mixture
SV.L.8.ZM,mixture
SV.L.9.ZJ,mixture
SV.L.9.ZM,mixture
SV.M.1.ZJ,mixture
SV.M.1.ZM,mixture
SV.M.10.ZJ,monoculture
SV.M.11.ZM,monoculture
SV.M.12.ZM,monoculture
SV.M.13.ZJ,mixture
SV.M.13.ZM,mixture
SV.M.14.ZM,monoculture
SV.M.15.ZJ,monoculture
SV.M.16.ZJ,mixture
SV.M.16.ZM,mixture
SV.M.17.ZM,monoculture
SV.M.18.ZJ,monoculture
SV.M.2.ZJ,monoculture
SV.M.3.ZJ,monoculture
SV.M.4.ZJ,mixture
SV.M.4.ZM,mixture
SV.M.5.ZM,monoculture
SV.M.6.ZM,monoculture
SV.M.7.ZJ,monoculture
SV.M.8.ZJ,mixture
SV.M.8.ZM,mixture
SV.M.9.ZJ,mixture
SV.M.9.ZM,mixture
